sample	group	lib.size	norm.factors
TCGA-2A-A8VL-01	T	39901307.68	1
TCGA-2A-A8VO-01	T	29906146.11	1
TCGA-2A-A8VT-01	T	46783899.07	1
TCGA-2A-A8VV-01	T	43780553.3	1
TCGA-2A-A8VX-01	T	41518879.5	1
TCGA-2A-A8W1-01	T	41350559.96	1
TCGA-2A-A8W3-01	T	45267155.74	1
TCGA-2A-AAYF-01	T	47185259.22	1
TCGA-2A-AAYO-01	T	38368766.68	1
TCGA-2A-AAYU-01	T	44750420.17	1
TCGA-4L-AA1F-01	T	46742318.68	1
TCGA-CH-5737-01	T	53136807	1
TCGA-CH-5738-01	T	58264980.32	1
TCGA-CH-5739-01	T	46209027.73	1
TCGA-CH-5740-01	T	30776892.46	1
TCGA-CH-5741-01	T	40406182.83	1
TCGA-CH-5743-01	T	54409835.65	1
TCGA-CH-5744-01	T	89850126.13	1
TCGA-CH-5745-01	T	48852684.34	1
TCGA-CH-5746-01	T	55494638.91	1
TCGA-CH-5748-01	T	45780650.34	1
TCGA-CH-5750-01	T	31785804.66	1
TCGA-CH-5751-01	T	33051445.44	1
TCGA-CH-5752-01	T	55817617.12	1
TCGA-CH-5753-01	T	42418339.45	1
TCGA-CH-5754-01	T	91424210.74	1
TCGA-CH-5761-11	N	40379207.51	1
TCGA-CH-5761-01	T	53926174.36	1
TCGA-CH-5762-01	T	42548789.66	1
TCGA-CH-5763-01	T	42510376.85	1
TCGA-CH-5764-01	T	22140733.72	1
TCGA-CH-5765-01	T	52717231.26	1
TCGA-CH-5766-01	T	54500627.21	1
TCGA-CH-5767-11	N	76178000.67	1
TCGA-CH-5767-01	T	56903434.61	1
TCGA-CH-5768-11	N	25330112.11	1
TCGA-CH-5768-01	T	55804531.56	1
TCGA-CH-5769-11	N	51494451.97	1
TCGA-CH-5769-01	T	41751199.25	1
TCGA-CH-5771-01	T	86864669.01	1
TCGA-CH-5772-01	T	23357435.81	1
TCGA-CH-5788-01	T	25727902.56	1
TCGA-CH-5789-01	T	41099215.08	1
TCGA-CH-5790-01	T	34657737.15	1
TCGA-CH-5791-01	T	32154318.4	1
TCGA-CH-5792-01	T	75251577.77	1
TCGA-CH-5794-01	T	64565680.22	1
TCGA-EJ-5494-01	T	48207945.9	1
TCGA-EJ-5495-01	T	57657130.61	1
TCGA-EJ-5496-01	T	39513030.37	1
TCGA-EJ-5497-01	T	45191572.83	1
TCGA-EJ-5498-01	T	34402660.41	1
TCGA-EJ-5499-01	T	53426816.4	1
TCGA-EJ-5501-01	T	83942370.41	1
TCGA-EJ-5502-01	T	83302914.94	1
TCGA-EJ-5503-01	T	81189302.88	1
TCGA-EJ-5504-01	T	44097450.23	1
TCGA-EJ-5505-01	T	54488048.43	1
TCGA-EJ-5506-01	T	56198904.81	1
TCGA-EJ-5507-01	T	49480506.08	1
TCGA-EJ-5508-01	T	36126297.66	1
TCGA-EJ-5509-01	T	93967852.99	1
TCGA-EJ-5510-01	T	60109425.34	1
TCGA-EJ-5511-01	T	80815486.23	1
TCGA-EJ-5512-01	T	33481461.42	1
TCGA-EJ-5514-01	T	53804258.82	1
TCGA-EJ-5515-01	T	45136084.35	1
TCGA-EJ-5516-01	T	44506398.42	1
TCGA-EJ-5517-01	T	64634868.36	1
TCGA-EJ-5518-01	T	85669654.79	1
TCGA-EJ-5519-01	T	71770888.13	1
TCGA-EJ-5521-01	T	74844167.47	1
TCGA-EJ-5522-01	T	70613977.13	1
TCGA-EJ-5524-01	T	50140488.26	1
TCGA-EJ-5525-01	T	30694379.75	1
TCGA-EJ-5526-01	T	56035440.35	1
TCGA-EJ-5527-01	T	68120190.25	1
TCGA-EJ-5530-01	T	71467041.79	1
TCGA-EJ-5531-01	T	47038020.77	1
TCGA-EJ-5532-01	T	65700285.02	1
TCGA-EJ-5542-01	T	59065075.42	1
TCGA-EJ-7115-11	N	50711289.91	1
TCGA-EJ-7115-01	T	48414947.6	1
TCGA-EJ-7123-11	N	72882822.48	1
TCGA-EJ-7123-01	T	67803086.19	1
TCGA-EJ-7125-11	N	62296345.98	1
TCGA-EJ-7125-01	T	48292816.44	1
TCGA-EJ-7218-01	T	65405082.99	1
TCGA-EJ-7312-01	T	35368705.48	1
TCGA-EJ-7314-11	N	42512684.14	1
TCGA-EJ-7314-01	T	55198710.88	1
TCGA-EJ-7315-11	N	52470223.34	1
TCGA-EJ-7315-01	T	66647796.09	1
TCGA-EJ-7317-11	N	54034360.52	1
TCGA-EJ-7317-01	T	51761475.67	1
TCGA-EJ-7318-01	T	60771309.3	1
TCGA-EJ-7321-11	N	71025437.62	1
TCGA-EJ-7321-01	T	44854672.14	1
TCGA-EJ-7325-01	T	44667069.19	1
TCGA-EJ-7327-11	N	61748045.16	1
TCGA-EJ-7327-01	T	60355483.1	1
TCGA-EJ-7328-11	N	56142567.6	1
TCGA-EJ-7328-01	T	47228818.53	1
TCGA-EJ-7330-11	N	49350082.08	1
TCGA-EJ-7330-01	T	60542633.3	1
TCGA-EJ-7331-11	N	52661356.01	1
TCGA-EJ-7331-01	T	63001508.98	1
TCGA-EJ-7781-11	N	55074554.6	1
TCGA-EJ-7781-01	T	57866899.08	1
TCGA-EJ-7782-11	N	49093307.57	1
TCGA-EJ-7782-01	T	60155198.24	1
TCGA-EJ-7783-11	N	50422785.09	1
TCGA-EJ-7783-01	T	59907987.42	1
TCGA-EJ-7784-11	N	62053559.54	1
TCGA-EJ-7784-01	T	58091000.9	1
TCGA-EJ-7785-11	N	53002014.29	1
TCGA-EJ-7785-01	T	65402167.71	1
TCGA-EJ-7786-11	N	57588157.97	1
TCGA-EJ-7786-01	T	53808316.15	1
TCGA-EJ-7788-01	T	57248607.76	1
TCGA-EJ-7789-11	N	57722504.84	1
TCGA-EJ-7789-01	T	46473633.1	1
TCGA-EJ-7791-01	T	83152846.76	1
TCGA-EJ-7792-11	N	46569961.77	1
TCGA-EJ-7792-01	T	57706241.46	1
TCGA-EJ-7793-11	N	62177111.99	1
TCGA-EJ-7793-01	T	50130484.95	1
TCGA-EJ-7794-11	N	55245882.47	1
TCGA-EJ-7794-01	T	57744935.85	1
TCGA-EJ-7797-11	N	67126299.61	1
TCGA-EJ-7797-01	T	54410022.61	1
TCGA-EJ-8468-01	T	26260088.01	1
TCGA-EJ-8469-01	T	21907567.15	1
TCGA-EJ-8470-01	T	58881352.75	1
TCGA-EJ-8472-01	T	54143720.68	1
TCGA-EJ-8474-01	T	44495530.28	1
TCGA-EJ-A46B-01	T	33885128.69	1
TCGA-EJ-A46D-01	T	31937522.08	1
TCGA-EJ-A46E-01	T	32829318.13	1
TCGA-EJ-A46F-01	T	39960591.8	1
TCGA-EJ-A46G-01	T	33812078.36	1
TCGA-EJ-A46H-01	T	37599106.29	1
TCGA-EJ-A46I-01	T	31353230.72	1
TCGA-EJ-A65B-01	T	44196263.42	1
TCGA-EJ-A65D-01	T	55009008.46	1
TCGA-EJ-A65E-01	T	39356995.43	1
TCGA-EJ-A65F-01	T	43019646.65	1
TCGA-EJ-A65G-01	T	33799405.21	1
TCGA-EJ-A65J-01	T	51871441.67	1
TCGA-EJ-A65M-01	T	41910722.15	1
TCGA-EJ-A6RA-01	T	40024930.75	1
TCGA-EJ-A6RC-01	T	51397243.49	1
TCGA-EJ-A7NF-01	T	41407847.87	1
TCGA-EJ-A7NG-01	T	46777904.78	1
TCGA-EJ-A7NH-01	T	47392858.8	1
TCGA-EJ-A7NJ-01	T	48265854.91	1
TCGA-EJ-A7NK-01	T	34082605.41	1
TCGA-EJ-A7NM-01	T	47180482.06	1
TCGA-EJ-A7NN-01	T	43319004.04	1
TCGA-EJ-A8FN-01	T	38345278.49	1
TCGA-EJ-A8FO-11	N	44843730.51	1
TCGA-EJ-A8FO-01	T	51412023.61	1
TCGA-EJ-A8FP-01	T	39702089.03	1
TCGA-EJ-A8FS-01	T	45946789.56	1
TCGA-EJ-A8FU-01	T	34766390.72	1
TCGA-EJ-AB20-01	T	30943095.77	1
TCGA-EJ-AB27-01	T	85168563.68	1
TCGA-FC-7708-01	T	55266590.51	1
TCGA-FC-7961-01	T	39693996.43	1
TCGA-FC-A4JI-01	T	48115754.96	1
TCGA-FC-A5OB-01	T	41227176.19	1
TCGA-FC-A66V-01	T	44404340.26	1
TCGA-FC-A6HD-01	T	39594466.75	1
TCGA-FC-A8O0-01	T	38576303.27	1
TCGA-G9-6329-01	T	52520197.54	1
TCGA-G9-6332-01	T	45854303.72	1
TCGA-G9-6333-11	N	50376469.47	1
TCGA-G9-6333-01	T	53804913.54	1
TCGA-G9-6336-01	T	40359717.59	1
TCGA-G9-6338-01	T	43376377.36	1
TCGA-G9-6339-01	T	37261733.33	1
TCGA-G9-6342-11	N	51951763.31	1
TCGA-G9-6342-01	T	53047297.54	1
TCGA-G9-6343-01	T	47511184.64	1
TCGA-G9-6347-01	T	56805500.82	1
TCGA-G9-6348-11	N	48629804.44	1
TCGA-G9-6348-01	T	63882759.23	1
TCGA-G9-6351-11	N	52650241.72	1
TCGA-G9-6351-01	T	56803567.42	1
TCGA-G9-6353-01	T	56439441.37	1
TCGA-G9-6354-01	T	38340673.39	1
TCGA-G9-6356-11	N	57616141.45	1
TCGA-G9-6356-01	T	50920666.89	1
TCGA-G9-6361-01	T	61862736.31	1
TCGA-G9-6362-11	N	47732779.07	1
TCGA-G9-6362-01	T	36761358.49	1
TCGA-G9-6363-11	N	60771319.21	1
TCGA-G9-6363-01	T	20186197.56	1
TCGA-G9-6364-01	T	44518817.39	1
TCGA-G9-6365-11	N	60025410.85	1
TCGA-G9-6365-01	T	57113401.29	1
TCGA-G9-6366-01	T	63125928.54	1
TCGA-G9-6367-01	T	59474182.12	1
TCGA-G9-6369-01	T	48289510.5	1
TCGA-G9-6370-01	T	53640314.34	1
TCGA-G9-6371-01	T	61583890.91	1
TCGA-G9-6373-01	T	49737056.06	1
TCGA-G9-6377-01	T	55320925.5	1
TCGA-G9-6378-01	T	32858421.09	1
TCGA-G9-6379-01	T	38712863.88	1
TCGA-G9-6384-11	N	47517549.3	1
TCGA-G9-6384-01	T	66391049.71	1
TCGA-G9-6385-01	T	54330484.67	1
TCGA-G9-6494-01	T	46734089.5	1
TCGA-G9-6496-11	N	51000383.3	1
TCGA-G9-6496-01	T	28992612.7	1
TCGA-G9-6498-01	T	43439845.42	1
TCGA-G9-6499-11	N	58125821.62	1
TCGA-G9-6499-01	T	56477529.23	1
TCGA-G9-7509-01	T	45856795.85	1
TCGA-G9-7510-01	T	61613266.84	1
TCGA-G9-7519-01	T	57447972.63	1
TCGA-G9-7521-01	T	71765617.6	1
TCGA-G9-7522-01	T	73260132.53	1
TCGA-G9-7523-01	T	57745434.97	1
TCGA-G9-7525-01	T	52561437.81	1
TCGA-G9-A9S0-01	T	27459358.47	1
TCGA-G9-A9S4-01	T	48778281.07	1
TCGA-G9-A9S7-01	T	48267586.34	1
TCGA-H9-7775-01	T	58089155.49	1
TCGA-H9-A6BX-01	T	41077313.2	1
TCGA-H9-A6BY-01	T	51039369.84	1
TCGA-HC-7075-01	T	64309415.91	1
TCGA-HC-7077-01	T	59839011.13	1
TCGA-HC-7078-01	T	45751994.76	1
TCGA-HC-7079-01	T	46981936.42	1
TCGA-HC-7080-01	T	66992792.15	1
TCGA-HC-7081-01	T	38335271.96	1
TCGA-HC-7209-01	T	50713928.66	1
TCGA-HC-7210-01	T	63671123.99	1
TCGA-HC-7211-11	N	47509493.37	1
TCGA-HC-7211-01	T	67166932.77	1
TCGA-HC-7212-01	T	59284047.37	1
TCGA-HC-7213-01	T	53076829.93	1
TCGA-HC-7230-01	T	60883061.51	1
TCGA-HC-7231-01	T	52904246.8	1
TCGA-HC-7232-01	T	55891037.23	1
TCGA-HC-7233-01	T	55222098.88	1
TCGA-HC-7736-01	T	72985864.49	1
TCGA-HC-7737-11	N	55834145.41	1
TCGA-HC-7737-01	T	49878820.55	1
TCGA-HC-7738-11	N	41640691.75	1
TCGA-HC-7738-01	T	62781185.69	1
TCGA-HC-7740-11	N	43304120.67	1
TCGA-HC-7740-01	T	46627497.22	1
TCGA-HC-7742-11	N	46197004.91	1
TCGA-HC-7742-01	T	52135124.36	1
